"theta"	"prop_random"	"iteration"	"mu"	"tau"	"I2"	"mu_2"	"tau_2"	"I2_2"
6.9	0	49	-1.62630325872826e-17	0	0	0	0	0
6.9	0	50	-1.79977560632594e-17	0	0	0	0	0
6.9	0	51	-1.57209315010398e-18	0	0	0	0	0
6.9	0	52	6.28837260041593e-17	0	0	0	0	0
6.9	0	53	4.33680868994202e-19	0	0	0	0	0
6.9	0	54	1.65611881847161e-17	0	0	0	0	0
6.9	0	55	-1.50433051432364e-17	0	0	0	0	0
6.9	0	56	2.86229373536173e-17	0	0	0	0	0
6.9	0	57	4.33680868994202e-18	0	0	0	0	0
6.9	0	58	-2.25785102420106e-17	0	0	0	0	0
6.9	0	59	-1.14925430283463e-17	0	0	0	0	0
6.9	0	60	2.99781900692242e-17	0	0	0	0	0
6.9	0	61	3.53449908230274e-17	0	0	0	0	0
6.9	0	62	8.02309607639273e-18	0	0	0	0	0
6.9	0	63	-1.81061762805079e-17	0	0	0	0	0
6.9	0	64	-3.03576608295941e-18	0	0	0	0	0
6.9	0	65	6.07153216591882e-18	0	0	0	0	0
6.9	0	66	-2.78639958328775e-17	0	0	0	0	0
6.9	0	67	-1.73472347597681e-17	0	0	0	0	0
6.9	0	68	-8.17217387510949e-18	0	0	0	0	0
6.9	0	69	-3.86518074491082e-17	0	0	0	0	0
6.9	0	70	4.02239005992122e-17	0	0	0	0	0
6.9	0	71	1.04083408558608e-17	0	0	0	0	0
6.9	0	72	-8.34835672813838e-17	0	0	0	0	0
6.9	0	73	5.42101086242752e-18	0	0	0	0	0
6.9	0	74	-6.00648003556969e-17	0	0	0	0	0
6.9	0	75	1.9298798670242e-17	0	0	0	0	0
6.9	0	76	-1.76724954115137e-17	0	0	0	0	0
6.9	0	77	-2.10335221462188e-17	0	0	0	0	0
6.9	0	78	-2.68882138776405e-17	0	0	0	0	0
6.9	0	79	-1.04083408558608e-17	0	0	0	0	0
6.9	0	80	-2.45029690981724e-17	0	0	0	0	0
6.9	0	81	8.02309607639273e-18	0	0	0	0	0
6.9	0	82	-3.77302356024956e-17	0	0	0	0	0
6.9	0	83	2.92734586571086e-17	0	0	0	0	0
6.9	0	84	4.11996825544492e-17	0	0	0	0	0
6.9	0	85	4.31512464649231e-17	0	0	0	0	0
6.9	0	86	6.72205346941013e-18	0	0	0	0	0
6.9	0	87	4.59701721133854e-17	0	0	0	0	0
6.9	0	88	-1.60461921527855e-17	0	0	0	0	0
6.9	0	89	3.71339244076285e-18	0	0	0	0	0
6.9	0	90	2.99239799605999e-17	0	0	0	0	0
6.9	0	91	-8.03393809811759e-17	0	0	0	0	0
6.9	0	92	-5.15673658288418e-17	0	0	0	0	0
6.9	0	93	8.45677694538693e-18	0	0	0	0	0
6.9	0	94	3.25260651745651e-17	0	0	0	0	0
6.9	0	95	-3.53449908230274e-17	0	0	0	0	0
6.9	0	96	-2.35271871429354e-17	0	0	0	0	0
6.9	0	97	8.89045781438114e-18	0	0	0	0	0
6.9	0	98	-1.30104260698261e-18	0	0	0	0	0
6.9	0	99	-9.26992857475106e-18	0	0	0	0	0
6.9	0	100	-4.45607092891542e-17	0	0	0	0	0
7.1	0	1	1.46367293285543e-17	0	0	0	0	0
7.1	0	2	-1.79977560632594e-17	0	0	0	0	0
7.1	0	3	-5.85469173142172e-18	0	0	0	0	0
7.1	0	4	-6.37510877421477e-17	0	0	0	0	0
7.1	0	5	1.42030484595601e-17	0	0	0	0	0
7.1	0	6	-1.95156391047391e-17	0	0	0	0	0
7.1	0	7	3.33392168039293e-17	0	0	0	0	0
7.1	0	8	-3.14418630020796e-17	0	0	0	0	0
7.1	0	9	4.8463837110102e-17	0	0	0	0	0
7.1	0	10	-3.27429056090622e-17	0	0	0	0	0
7.1	0	11	-5.51858905795122e-17	0	0	0	0	0
7.1	0	12	4.39101879856629e-17	0	0	0	0	0
7.1	0	13	-2.42861286636753e-17	0	0	0	0	0
7.1	0	14	6.71121144768527e-17	0	0	0	0	0
7.1	0	15	-1.40946282423116e-17	0	0	0	0	0
7.1	0	16	-5.43456338958359e-18	0	0	0	0	0
7.1	0	17	1.73472347597681e-18	0	0	0	0	0
7.1	0	18	5.52943107967607e-18	0	0	0	0	0
7.1	0	19	-4.22838847269347e-18	0	0	0	0	0
7.1	0	20	3.27429056090622e-17	0	0	0	0	0
7.1	0	21	-7.15573433840433e-18	0	0	0	0	0
7.1	0	22	-4.68375338513738e-17	0	0	0	0	0
7.1	0	23	4.12267876087613e-17	0	0	0	0	0
7.1	0	24	-5.82216566624716e-17	0	0	0	0	0
7.1	0	25	-5.83300768797201e-17	0	0	0	0	0
7.1	0	26	-7.80625564189563e-18	0	0	0	0	0
7.1	0	27	2.86229373536173e-17	0	0	0	0	0
7.1	0	28	-2.0491421059976e-17	0	0	0	0	0
7.1	0	29	-5.93600689435814e-18	0	0	0	0	0
7.1	0	30	-2.09251019289702e-17	0	0	0	0	0
7.1	0	31	-2.68882138776405e-17	0	0	0	0	0
7.1	0	32	2.60208521396521e-17	0	0	0	0	0
7.1	0	33	-8.19114741312799e-17	0	0	0	0	0
7.1	0	34	-1.55040910665427e-17	0	0	0	0	0
7.1	0	35	6.85215773010839e-17	0	0	0	0	0
7.1	0	36	-4.33680868994202e-19	0	0	0	0	0
7.1	0	37	3.03576608295941e-17	0	0	0	0	0
7.1	0	38	-9.83235845172792e-18	0	0	0	0	0
7.1	0	39	3.07913416985883e-17	0	0	0	0	0
7.1	0	40	1.57209315010398e-17	0	0	0	0	0
7.1	0	41	3.46944695195361e-17	0	0	0	0	0
7.1	0	42	-5.09032919981944e-17	0	0	0	0	0
7.1	0	43	-4.26565792237266e-17	0	0	0	0	0
7.1	0	44	-1.40946282423116e-18	0	0	0	0	0
7.1	0	45	1.06251812903579e-17	0	0	0	0	0
7.1	0	46	-5.33427468862868e-17	0	0	0	0	0
